Name,ID,Primary document,Secondary documents,Notes,SOP Pages
Closing County,1949,,,"Match same as Field ID ""13""",
Closing State,3542,,,"Match same as Field ID ""14""",
Unincorporated Area,3258,,,Do not allow to type anything - Must be blank on all loans,
Legal Description,1846,,,"Default it to ""See Attached Exhibit-A""",
Demand Feature,663,"Must auto check as ""does not have a demand feature""",,Always needs to be checked as 'does not have a demand feature' irrespective of loan type,
Other Disclosures,CD5.X6,"Must auto check as ""state law may protect you from liability for the unpaid balance""",,Always needs to be checked as 'state law may protect you from liability for the unpaid balance' irrespective of loan type,
Use 366 Days in Leap Year,4748,,,Default it to Unchecked,
Use Simple Interest Accrual,4749,,,Default it to Unchecked,
Interest Rate,1677,,,Sync with  Field ID  3,
Monthly Principal & Interest,4085,Field ID  4085 =  CD1.X9,,"if both Fields are not the same then put hard stop message at milestone for DOCS Out stating following message:                                                            ""ATTN:  DOCS Team  - Principal & Interest on CD page-1 under Loan Terms section and Project Payments must be same. Check before you send out DOCS""",
